"","Adipose_Subcutaneous","Artery_Tibial","Brain_Cerebellum","Brain_Cortex","Brain_Nucleus_accumbens_basal_ganglia","Cells_Cultured_fibroblasts","Cells_EBV.transformed_lymphocytes","Colon_Transverse","Esophagus_Mucosa","Liver","Lung","Muscle_Skeletal","Nerve_Tibial","Pituitary","Skin_Sun_Exposed_Lower_leg","Spleen","Thyroid","Whole_Blood"
"Adipose_Subcutaneous",1,0.89600702062308,0.77643345607575,0.790818988002087,0.610762800417973,0.844155844155844,0.772151898734177,0.764964788732394,0.801747930082797,0.625677139761647,0.885361176219902,0.689022858578247,0.919671777153962,0.814652183961174,0.869162995594714,0.859109683340982,0.876970908283367,0.454494064443188
"Artery_Tibial",0.92519305019305,1,0.784455359722623,0.801389693109438,0.605324074074074,0.86421052631579,0.787537743617897,0.768986568986569,0.811212516297262,0.632226322263223,0.879494655004859,0.714444136401442,0.93603515625,0.812548412083656,0.873278236914601,0.858947368421053,0.876314471707561,0.44469525959368
"Brain_Cerebellum",0.837425910245555,0.809400603708495,1,0.824235385210995,0.652278177458034,0.80512351326624,0.749036402569593,0.748547717842324,0.772350632359355,0.623173803526448,0.805060141020324,0.682094436652641,0.850406504065041,0.845556849049282,0.829444208739924,0.835095137420719,0.830939679934345,0.402889245585875
"Brain_Cortex",0.856804172593646,0.828681424446583,0.858732876712329,1,0.744087837837838,0.820448877805486,0.771818625060946,0.756416238917406,0.798237022526934,0.649507119386638,0.804809052333805,0.729675810473815,0.853947968963943,0.840249888442659,0.808745795290726,0.822157434402332,0.831381733021077,0.433033033033033
"Brain_Nucleus_accumbens_basal_ganglia",0.861271676300578,0.842209072978304,0.825290164935858,0.855421686746988,1,0.843856076035302,0.761747187293183,0.774647887323944,0.814790139906729,0.704545454545455,0.817718291905672,0.756296800544588,0.868585732165207,0.860859044162129,0.871844660194175,0.826551034022682,0.840153452685422,0.561389961389961
"Cells_Cultured_fibroblasts",0.889662284093839,0.853709508881923,0.74597386812519,0.772699573430835,0.574688165500456,1,0.812549225518509,0.72295719844358,0.790064102564103,0.63760471610301,0.817444219066937,0.708208508088676,0.880877742946709,0.80650406504065,0.852009582113388,0.825829064437854,0.838538909475913,0.458920591268477
"Cells_EBV.transformed_lymphocytes",0.849417637271215,0.841297676457694,0.747226242161119,0.760804020100503,0.569807597434632,0.804003336113428,1,0.754356846473029,0.798623063683305,0.589974937343358,0.818472610955618,0.712173484475111,0.864363942712721,0.82707423580786,0.843103448275862,0.837510105092967,0.867867867867868,0.388565891472868
"Colon_Transverse",0.850031505986137,0.85067007019783,0.787114845938375,0.809929078014184,0.620448179271709,0.805878332194122,0.78186775732788,1,0.801162040025823,0.74025974025974,0.847866419294991,0.634782608695652,0.833857772183763,0.837767683322518,0.856133590237636,0.832684824902724,0.821518987341772,0.428794992175274
"Esophagus_Mucosa",0.916002452483139,0.888676844783715,0.815612857647474,0.816896429833864,0.636810677906568,0.877799104286628,0.81888745148771,0.800120409391933,1,0.738584872777971,0.900059488399762,0.740805604203152,0.902045877247365,0.867660764212488,0.911504424778761,0.883312421580928,0.901468788249694,0.464672897196262
"Liver",0.813988095238095,0.839313572542902,0.811688311688312,0.8125,0.687242798353909,0.803066989507667,0.761363636363636,0.788166544923302,0.810526315789474,1,0.792093704245974,0.779089376053963,0.84053651266766,0.831469052945563,0.796969696969697,0.820377358490566,0.836795252225519,0.512107623318386
"Lung",0.906941266209001,0.8775939059627,0.812829253176325,0.778535980148883,0.612883245586869,0.861793260993718,0.807692307692308,0.787987679671458,0.839160839160839,0.664576802507837,1,0.73497688751926,0.910123966942149,0.835668103448276,0.880651945320715,0.891224382553862,0.899115964638586,0.469725940089229
"Muscle_Skeletal",0.883712784588441,0.873817034700315,0.785794813979707,0.802656546489564,0.645618063528511,0.840177580466149,0.757486136783734,0.764084507042254,0.805718475073314,0.646613378207825,0.859881491808993,1,0.896515311510032,0.815495495495495,0.859661748830515,0.811877535964589,0.844533236469306,0.442146942366916
"Nerve_Tibial",0.900699616339427,0.869025735294118,0.799687010954617,0.794538361508452,0.584442704254764,0.833832335329341,0.750629722921914,0.749598715890851,0.78042263784309,0.638753929694198,0.881875563570784,0.680533333333333,1,0.843691148775895,0.84783112966829,0.868126636515115,0.884553220965135,0.412712623097583
"Pituitary",0.871014492753623,0.840926064227035,0.815704553603442,0.804108584005869,0.629903774981495,0.833855799373041,0.75,0.789921930447126,0.812314540059347,0.666804807293825,0.82441413081497,0.699136868064118,0.87381036305957,1,0.856936416184971,0.852866931121529,0.886910994764398,0.369182105738816
"Skin_Sun_Exposed_Lower_leg",0.911734693877551,0.887806162760074,0.787359716479622,0.796457520264185,0.630676691729323,0.86130374479889,0.799338478500551,0.779141104294478,0.878123406425293,0.675943104514533,0.871421396283275,0.726271942874145,0.915223571982424,0.833377413382703,1,0.871505376344086,0.888686605981794,0.43463121240899
"Spleen",0.872340425531915,0.842368045649073,0.82109375,0.756767359748921,0.590926867422761,0.850172877449097,0.812066574202497,0.801142089351696,0.817536386226482,0.686091686091686,0.863358040605865,0.669784465229768,0.887343060739735,0.856016455262256,0.848400556328234,1,0.857482185273159,0.447129909365559
"Thyroid",0.89132002885309,0.871432117150658,0.818083084442031,0.794857768052516,0.602620087336245,0.844614169080853,0.757255936675462,0.762234423490093,0.817462280484789,0.652345958168457,0.87397131436633,0.727041537157389,0.908808784912867,0.857246202073788,0.866440842003387,0.876415558838011,1,0.448232718173287
"Whole_Blood",0.842909090909091,0.827160493827161,0.733695652173913,0.72027972027972,0.595197255574614,0.787903893951947,0.739130434782609,0.721033210332103,0.815789473684211,0.651018600531444,0.838343353373413,0.701388888888889,0.8117123795404,0.786271450858034,0.846153846153846,0.836570663094441,0.821374045801527,1
