trait,pval,pair,conf_low,conf_top,min,max,statistics,test_type,alpha
Length,15.653559774527,higher_in vs lower_in,0.218456399185529,0.306839037520624,0.16446725577093,0.367636280371572,0.261327489925829,ks,1
% ASN,12.0105020907756,higher_in vs lower_in,0.138959830355975,0.232337376072573,0.06993011144019,0.294154917054557,0.187972870991941,ks,1
% CYS,5.7243202116322,higher_in vs lower_in,-0.192206992688642,-0.105340702916796,-0.242113089659852,-0.0367477316378743,-0.145967919597857,ks,1
Symm_dist,0.0946012855478716,higher_in vs lower_in,0.00238314118614081,0.0952783648951117,-0.0476707633653067,0.1522187719298,0.0534292532318528,ks,1
Q1_RSA,Inf,higher_in vs lower_in,-0.463162355046898,-0.381074550973365,-0.520383453369588,-0.321559245518758,-0.422009925195259,ks,1
Q3_pLDDT,Inf,higher_in vs lower_in,0.615784266173489,0.761046390269,0.528160651605403,0.841634786494579,0.682714272378299,ks,1
Symmetric,0.749602416084734,higher_in vs lower_in,0.829579733058841,1.03613738375197,0,0,0.926991640319136,fisher,0.4
Symm_not_found,0.444285705328573,higher_in vs lower_in,0.629047161746944,1.18290741718509,0,0,0.864896273364672,fisher,0.4
Helix,0,higher_in vs lower_in,0,Inf,0,0,0,fisher,0.4
Sheet,0,higher_in vs lower_in,0,Inf,0,0,0,fisher,0.4
Turn,0,higher_in vs lower_in,0,Inf,0,0,0,fisher,0.4
Transmembrane,23.6168313411796,higher_in vs lower_in,2.60744633655758,4.52164796384815,0,0,3.41123429271132,fisher,1
Domain,1.07535398418855,higher_in vs lower_in,0.599599973134326,11.1109076660825,0,0,3.20417584995092,fisher,0.4
