gene	n_exons
ENSG00000000003	10
ENSG00000000005	7
ENSG00000000419	10
ENSG00000000457	18
ENSG00000000460	29
ENSG00000000938	15
ENSG00000000971	23
ENSG00000001036	9
ENSG00000001084	17
ENSG00000001167	11
ENSG00000001460	13
ENSG00000001461	15
ENSG00000001497	14
ENSG00000001561	4
ENSG00000001617	20
ENSG00000001626	37
ENSG00000001629	24
ENSG00000001630	3
ENSG00000001631	20
ENSG00000002016	15
ENSG00000002079	39
ENSG00000002330	6
ENSG00000002549	15
ENSG00000002586	30
ENSG00000002587	3
ENSG00000002726	11
ENSG00000002745	5
ENSG00000002746	37
ENSG00000002822	37
ENSG00000002834	11
ENSG00000002919	11
ENSG00000002933	8
ENSG00000003056	7
ENSG00000003096	12
ENSG00000003137	7
ENSG00000003147	21
ENSG00000003249	6
ENSG00000003393	40
ENSG00000003400	12
ENSG00000003402	23
ENSG00000003436	15
ENSG00000003509	13
ENSG00000003756	25
ENSG00000003987	21
ENSG00000003989	15
ENSG00000004059	6
ENSG00000004139	12
ENSG00000004142	11
ENSG00000004399	37
ENSG00000004455	12
ENSG00000004468	8
ENSG00000004478	16
ENSG00000004487	21
ENSG00000004534	25
ENSG00000004660	18
ENSG00000004700	13
ENSG00000004766	32
ENSG00000004776	4
ENSG00000004777	25
ENSG00000004779	7
ENSG00000004799	11
ENSG00000004809	11
ENSG00000004838	14
ENSG00000004846	32
ENSG00000004848	9
ENSG00000004864	20
ENSG00000004866	29
ENSG00000004897	21
ENSG00000004939	21
ENSG00000004948	18
ENSG00000004961	7
ENSG00000004975	16
ENSG00000005001	7
ENSG00000005007	30
ENSG00000005020	21
ENSG00000005022	5
ENSG00000005059	11
ENSG00000005073	2
ENSG00000005075	4
ENSG00000005100	12
ENSG00000005102	3
ENSG00000005108	28
ENSG00000005156	24
ENSG00000005175	19
ENSG00000005187	23
ENSG00000005189	22
ENSG00000005194	9
ENSG00000005206	19
ENSG00000005238	10
ENSG00000005243	11
ENSG00000005249	13
ENSG00000005302	15
ENSG00000005339	38
ENSG00000005379	32
ENSG00000005381	12
ENSG00000005421	9
ENSG00000005436	16
ENSG00000005448	10
ENSG00000005469	20
ENSG00000005471	33
ENSG00000005483	30
ENSG00000005486	8
ENSG00000005513	3
ENSG00000005700	30
ENSG00000005801	16
ENSG00000005810	85
ENSG00000005812	5
ENSG00000005844	33
ENSG00000005882	14
ENSG00000005884	27
ENSG00000005889	18
ENSG00000005893	11
ENSG00000005961	30
ENSG00000005981	6
ENSG00000006007	8
ENSG00000006015	5
ENSG00000006016	14
ENSG00000006025	22
ENSG00000006042	9
ENSG00000006047	11
ENSG00000006059	7
ENSG00000006062	16
ENSG00000006071	38
ENSG00000006116	4
ENSG00000006118	14
ENSG00000006125	29
ENSG00000006128	7
ENSG00000006194	6
ENSG00000006210	3
ENSG00000006282	17
ENSG00000006283	40
ENSG00000006327	5
ENSG00000006377	3
ENSG00000006432	15
ENSG00000006451	8
ENSG00000006453	15
ENSG00000006459	21
ENSG00000006468	23
ENSG00000006530	20
ENSG00000006534	13
ENSG00000006555	8
ENSG00000006576	22
ENSG00000006606	4
ENSG00000006607	32
ENSG00000006611	31
ENSG00000006625	5
ENSG00000006634	12
ENSG00000006638	4
ENSG00000006652	20
ENSG00000006659	5
ENSG00000006695	7
ENSG00000006704	27
ENSG00000006712	14
ENSG00000006715	37
ENSG00000006740	24
ENSG00000006744	25
ENSG00000006747	25
ENSG00000006756	14
ENSG00000006757	8
ENSG00000006788	41
ENSG00000006831	12
ENSG00000006837	18
ENSG00000007001	11
ENSG00000007038	7
ENSG00000007047	18
ENSG00000007062	43
ENSG00000007080	6
ENSG00000007129	11
ENSG00000007168	18
ENSG00000007171	27
ENSG00000007174	76
ENSG00000007202	36
ENSG00000007216	12
ENSG00000007237	23
ENSG00000007255	6
ENSG00000007264	22
ENSG00000007306	7
ENSG00000007312	6
ENSG00000007314	24
ENSG00000007341	21
ENSG00000007350	15
ENSG00000007372	23
ENSG00000007376	4
ENSG00000007384	20
ENSG00000007392	10
ENSG00000007402	38
ENSG00000007516	36
ENSG00000007520	6
ENSG00000007541	14
ENSG00000007545	21
ENSG00000007866	14
ENSG00000007908	15
ENSG00000007923	19
ENSG00000007933	11
ENSG00000007944	7
ENSG00000007952	13
ENSG00000007968	7
ENSG00000008018	6
ENSG00000008056	14
ENSG00000008083	20
ENSG00000008086	28
ENSG00000008118	13
ENSG00000008128	20
ENSG00000008130	19
ENSG00000008196	8
ENSG00000008197	9
ENSG00000008226	38
ENSG00000008256	18
ENSG00000008277	36
ENSG00000008282	8
ENSG00000008283	14
