ID	#Chr	start	end	GTEx_ID	gene	exon_number	n_exons	terminal_exon_flag	n_significant_tissues
chr1_16858_17055_-	chr1	16858	17055	ENSG00000227232.5_7	ENSG00000227232	7	11	FALSE	15
chr1_1263346_1263386_-	chr1	1263346	1263386	ENSG00000160087.20_6	ENSG00000160087	6	11	FALSE	12
chr1_1299973_1300068_-	chr1	1299973	1300068	ENSG00000131584.18_10	ENSG00000131584	10	27	FALSE	16
chr1_1312440_1312501_-	chr1	1312440	1312501	ENSG00000127054.20_17	ENSG00000127054	17	20	FALSE	16
chr1_1339736_1339812_-	chr1	1339736	1339812	ENSG00000107404.19_9	ENSG00000107404	9	16	FALSE	15
chr1_1355450_1355752_-	chr1	1355450	1355752	ENSG00000162576.16_4	ENSG00000162576	4	11	FALSE	12
chr1_1398233_1398366_-	chr1	1398233	1398366	ENSG00000221978.11_3	ENSG00000221978	3	15	FALSE	11
chr1_1436807_1437484_+	chr1	1436807	1437484	ENSG00000179403.11_3	ENSG00000179403	3	4	FALSE	10
chr1_1479049_1479108_+	chr1	1479049	1479108	ENSG00000160072.19_4	ENSG00000160072	4	16	FALSE	10
chr1_1525240_1525291_+	chr1	1525240	1525291	ENSG00000197785.13_13	ENSG00000197785	13	18	FALSE	15
chr1_1624991_1625185_+	chr1	1624991	1625185	ENSG00000197530.12_9	ENSG00000197530	9	22	FALSE	13
chr1_1636897_1637004_-	chr1	1636897	1637004	ENSG00000248333.8_23	ENSG00000248333	23	27	FALSE	17
chr1_1708180_1708245_-	chr1	1708180	1708245	ENSG00000008128.22_10	ENSG00000008128	10	20	FALSE	16
chr1_1755374_1755476_-	chr1	1755374	1755476	ENSG00000008130.15_14	ENSG00000008130	14	19	FALSE	17
chr1_1817837_1817875_-	chr1	1817837	1817875	ENSG00000078369.17_7	ENSG00000078369	7	15	FALSE	17
chr1_2193998_2194213_-	chr1	2193998	2194213	ENSG00000162585.16_9	ENSG00000162585	9	17	FALSE	10
chr1_2399415_2399514_+	chr1	2399415	2399514	ENSG00000157916.19_5	ENSG00000157916	5	8	FALSE	12
chr1_3498698_3498826_-	chr1	3498698	3498826	ENSG00000162591.15_27	ENSG00000162591	27	40	FALSE	12
chr1_3635160_3635294_-	chr1	3635160	3635294	ENSG00000116213.15_8	ENSG00000116213	8	12	FALSE	17
chr1_6199562_6199612_-	chr1	6199562	6199612	ENSG00000116251.9_6	ENSG00000116251	6	11	FALSE	15
chr1_6585919_6586030_+	chr1	6585919	6586030	ENSG00000204859.12_4	ENSG00000204859	4	11	FALSE	14
chr1_6871757_6872053_+	chr1	6871757	6872053	ENSG00000171735.18_6	ENSG00000171735	6	30	FALSE	13
chr1_7965324_7965425_+	chr1	7965324	7965425	ENSG00000116288.12_5	ENSG00000116288	5	10	FALSE	17
chr1_8870452_8870510_-	chr1	8870452	8870510	ENSG00000074800.13_6	ENSG00000074800	6	14	FALSE	16
chr1_9579954_9580234_+	chr1	9579954	9580234	ENSG00000171612.6_6	ENSG00000171612	6	7	FALSE	10
chr1_9735467_9735615_-	chr1	9735467	9735615	ENSG00000171603.16_13	ENSG00000171603	13	19	FALSE	15
chr1_9871187_9871277_-	chr1	9871187	9871277	ENSG00000178585.14_7	ENSG00000178585	7	11	FALSE	10
chr1_9934762_9934860_-	chr1	9934762	9934860	ENSG00000162441.11_6	ENSG00000162441	6	10	FALSE	13
chr1_10007570_10007748_+	chr1	10007570	10007748	ENSG00000162444.11_3	ENSG00000162444	3	5	FALSE	12
chr1_10374854_10375046_+	chr1	10374854	10375046	ENSG00000054523.17_53	ENSG00000054523	53	55	FALSE	10
chr1_10403071_10403136_+	chr1	10403071	10403136	ENSG00000142657.20_5	ENSG00000142657	5	15	FALSE	14
chr1_10463431_10463620_-	chr1	10463431	10463620	ENSG00000160049.11_4	ENSG00000160049	4	8	FALSE	11
chr1_10599238_10599366_+	chr1	10599238	10599366	ENSG00000142655.12_5	ENSG00000142655	5	10	FALSE	17
chr1_11016844_11017007_+	chr1	11016844	11017007	ENSG00000120948.16_5	ENSG00000120948	5	9	FALSE	16
chr1_11055781_11055926_-	chr1	11055781	11055926	ENSG00000116649.9_6	ENSG00000116649	6	7	FALSE	13
chr1_11079711_11079822_-	chr1	11079711	11079822	ENSG00000171824.13_15	ENSG00000171824	15	23	FALSE	12
chr1_11981970_11982114_+	chr1	11981970	11982114	ENSG00000116688.16_3	ENSG00000116688	3	22	FALSE	14
chr1_12579293_12579412_-	chr1	12579293	12579412	ENSG00000162496.8_5	ENSG00000162496	5	8	FALSE	15
chr1_15427150_15427284_+	chr1	15427150	15427284	ENSG00000142634.12_3	ENSG00000142634	3	5	FALSE	16
chr1_15504611_15504758_-	chr1	15504611	15504758	ENSG00000132906.17_10	ENSG00000132906	10	13	FALSE	14
chr1_15777015_15777287_+	chr1	15777015	15777287	ENSG00000162458.12_11	ENSG00000162458	11	12	FALSE	10
chr1_15948291_15948497_-	chr1	15948291	15948497	ENSG00000116809.11_4	ENSG00000116809	4	14	FALSE	14
chr1_16455818_16455893_+	chr1	16455818	16455893	ENSG00000157191.19_10	ENSG00000157191	10	11	FALSE	15
chr1_16485569_16485665_-	chr1	16485569	16485665	ENSG00000080947.14_8	ENSG00000080947	8	17	FALSE	10
chr1_16633095_16633346_-	chr1	16633095	16633346	ENSG00000215908.10_8	ENSG00000215908	8	20	FALSE	17
chr1_16969785_16969934_+	chr1	16969785	16969934	ENSG00000058453.16_36	ENSG00000058453	36	40	FALSE	16
chr1_16986463_16986632_-	chr1	16986463	16986632	ENSG00000159363.17_26	ENSG00000159363	26	27	FALSE	15
chr1_17607802_17607977_+	chr1	17607802	17607977	ENSG00000074964.16_8	ENSG00000074964	8	33	FALSE	12
chr1_19097193_19097280_-	chr1	19097193	19097280	ENSG00000127481.14_91	ENSG00000127481	91	106	FALSE	14
