Enseml.Gene.Id	Enseml.Prot.Id	UniProt.Id
ENSG00000000938.13	ENSP00000363117.3	P09769
ENSG00000001084.13	ENSP00000497574.1	P48506
ENSG00000001626.17	ENSP00000003084.6	P13569
ENSG00000003137.9	ENSP00000001146.2	Q9NR63
ENSG00000003989.18	ENSP00000419140.2	P52569
ENSG00000004139.14	ENSP00000468032.2	Q6SZW1
ENSG00000004142.12	ENSP00000475924.2	Q9Y2S7
ENSG00000004468.13	ENSP00000226279.2	P28907
ENSG00000197013.11	ENSP00000351280.3	Q86V71
ENSG00000004776.13	ENSP00000004982.3	O14558
ENSG00000004838.14	ENSP00000231749.3	O75800
ENSG00000004866.22	ENSP00000325673.3	Q9NRC1
ENSG00000004939.16	ENSP00000262418.6	P02730
ENSG00000005108.17	ENSP00000406482.2	Q9UPZ6
ENSG00000167637.18	ENSP00000484852.1	Q8N7M2
ENSG00000005189.20	ENSP00000261377.6	Q96IC2
ENSG00000005471.19	ENSP00000496956.2	P21439
ENSG00000005882.12	ENSP00000420927.1	Q15119
ENSG00000005961.19	ENSP00000262407.5	P08514
ENSG00000006042.12	ENSP00000463245.1	Q9Y2Y6
ENSG00000006116.4	ENSP00000005284.4	O60359
ENSG00000006283.18	ENSP00000352011.5	O43497
ENSG00000006432.16	ENSP00000451612.2	P80192
ENSG00000006453.14	ENSP00000005260.8	Q9UHR4
ENSG00000116793.16	ENSP00000358617.1	Q9UMS5
ENSG00000114904.13	ENSP00000233027.5	P51957
ENSG00000006695.12	ENSP00000261643.3	Q12887
ENSG00000006837.12	ENSP00000265334.4	Q8IVW4
ENSG00000007264.15	ENSP00000308734.5	P42679
ENSG00000007306.15	ENSP00000385932.1	
ENSG00000008196.13	ENSP00000377265.2	Q92481
ENSG00000008226.20	ENSP00000308597.6	Q9Y238
ENSG00000008438.5	ENSP00000008938.3	O75594
ENSG00000008516.18	ENSP00000337816.4	Q9NPA2
ENSG00000010072.16	ENSP00000295050.7	Q9H040
ENSG00000010292.13	ENSP00000325017.5	Q15021
ENSG00000005801.18	ENSP00000382511.4	O14628
ENSG00000010704.19	ENSP00000417404.1	Q30201
ENSG00000011114.15	ENSP00000335615.5	Q9P203
ENSG00000011143.19	ENSP00000376827.2	Q9NXB0
ENSG00000011198.10	ENSP00000495778.1	Q8WTS1
ENSG00000011347.10	ENSP00000439694.1	O43581
ENSG00000012504.15	ENSP00000376712.3	Q96RI1
ENSG00000013016.16	ENSP00000327116.5	Q9NZN3
ENSG00000014824.14	ENSP00000264451.6	Q6PML9
ENSG00000015413.10	ENSP00000508584.1	P16444
ENSG00000015520.15	ENSP00000370552.3	Q9UHC9
ENSG00000016490.16	ENSP00000378200.1	A8K7I4
ENSG00000018510.18	ENSP00000264167.4	O00116
ENSG00000018869.18	ENSP00000465619.1	Q96NG8
ENSG00000019102.12	ENSP00000318684.5	Q96IQ7
ENSG00000020426.11	ENSP00000261245.4	P51948
ENSG00000021461.18	ENSP00000346887.3	Q9HB55
ENSG00000021488.13	ENSP00000023064.3	P82251
ENSG00000103494.16	ENSP00000493946.1	Q68CZ1
ENSG00000022556.16	ENSP00000409370.2	Q9NX02
ENSG00000022567.10	ENSP00000428137.1	
ENSG00000088053.11	ENSP00000308782.3	Q9HCN6
ENSG00000023572.10	ENSP00000356409.3	Q9NS18
ENSG00000023892.11	ENSP00000319831.5	Q9H4E7
ENSG00000024526.17	ENSP00000412292.2	Q5TB30
ENSG00000025800.14	ENSP00000362728.3	O60684
ENSG00000031691.7	ENSP00000337289.2	Q7L2Z9
ENSG00000032219.19	ENSP00000347602.3	P29374
ENSG00000033050.9	ENSP00000287844.2	Q9UG63
ENSG00000033122.21	ENSP00000498937.2	
ENSG00000035687.10	ENSP00000355493.3	P30520
ENSG00000038210.14	ENSP00000264864.6	Q8TCG2
ENSG00000039139.11	ENSP00000265104.4	Q8TE73
ENSG00000041353.10	ENSP00000262094.4	O00194
ENSG00000043093.15	ENSP00000292782.4	Q96GG9
ENSG00000044574.9	ENSP00000324173.6	P11021
ENSG00000047617.17	ENSP00000507275.1	Q9NQ90
ENSG00000047936.11	ENSP00000357493.3	P08922
ENSG00000184465.16	ENSP00000416289.1	
ENSG00000050555.19	ENSP00000354360.4	Q9Y6N6
ENSG00000051341.15	ENSP00000264233.5	O75417
ENSG00000051382.9	ENSP00000501150.1	P42338
ENSG00000052749.14	ENSP00000360031.4	Q5JTH9
ENSG00000053328.9	ENSP00000344071.4	Q5JXM2
ENSG00000053702.15	ENSP00000337501.4	Q9BQI9
ENSG00000054179.12	ENSP00000347213.2	Q9Y5L3
ENSG00000054965.11	ENSP00000348852.4	Q92567
ENSG00000055332.19	ENSP00000233057.4	P19525
ENSG00000057593.14	ENSP00000329546.4	P08709
ENSG00000058866.15	ENSP00000265022.3	P49619
ENSG00000060566.14	ENSP00000078445.1	Q68CJ9
ENSG00000060709.16	ENSP00000509157.1	O15034
ENSG00000060749.16	ENSP00000496900.1	Q2KHR3
ENSG00000061455.11	ENSP00000384725.3	Q9NQX0
ENSG00000106436.7	ENSP00000223167.4	Q9BUA6
ENSG00000063015.21	ENSP00000312942.11	Q53EL9
ENSG00000063438.20	ENSP00000507476.1	
ENSG00000064102.15	ENSP00000261191.7	Q9NVM9
ENSG00000064270.13	ENSP00000262429.4	O75185
ENSG00000064545.15	ENSP00000162044.7	Q9NX61
ENSG00000064692.20	ENSP00000261368.8	Q9Y6H5
ENSG00000064999.15	ENSP00000353518.3	Q92625
ENSG00000065060.18	ENSP00000192788.5	Q6BDS2
ENSG00000065183.16	ENSP00000308179.4	Q9UNX4
ENSG00000065243.20	ENSP00000359552.3	Q16513
ENSG00000065308.5	ENSP00000182527.3	Q15035
ENSG00000065320.9	ENSP00000173229.2	O95631
ENSG00000065325.13	ENSP00000262441.5	O95838
ENSG00000139645.11	ENSP00000267116.7	Q8NB46
ENSG00000065457.11	ENSP00000457501.2	Q9BUB4
ENSG00000065485.20	ENSP00000323313.7	Q14554
ENSG00000066294.15	ENSP00000357033.4	Q9UIB8
ENSG00000066382.17	ENSP00000350833.4	Q15777
ENSG00000066405.13	ENSP00000183605.5	P56856
ENSG00000066827.16	ENSP00000367069.3	Q9P243
ENSG00000067208.16	ENSP00000506999.1	O60447
ENSG00000067533.6	ENSP00000355899.3	Q9Y3B9
ENSG00000067704.10	ENSP00000355889.2	Q9NSE4
ENSG00000068489.13	ENSP00000262293.5	Q96HE9
ENSG00000068615.20	ENSP00000438346.3	Q9H902
ENSG00000068654.17	ENSP00000263857.6	O95602
ENSG00000068697.7	ENSP00000175091.4	Q15012
ENSG00000069020.19	ENSP00000385727.1	O15021
ENSG00000069275.13	ENSP00000356110.4	Q9H1E3
ENSG00000069399.15	ENSP00000164227.5	P20749
ENSG00000069667.16	ENSP00000335087.6	P35398
ENSG00000069696.7	ENSP00000176183.5	P21917
ENSG00000069764.10	ENSP00000393847.4	O15496
ENSG00000070269.14	ENSP00000261556.6	Q9NX78
ENSG00000070367.16	ENSP00000484855.1	O00471
ENSG00000070526.15	ENSP00000156626.6	Q9NSC7
ENSG00000070729.14	ENSP00000251102.8	Q14028
ENSG00000177324.14	ENSP00000369372.4	Q8NDZ0
ENSG00000070950.10	ENSP00000264926.2	Q9NS91
