chr	region_start	region_end	phenotype_id
chr20	49935419	51934711	ENSG00000000419.12_7
chr1	168851510	170849477	ENSG00000000457.13_12
chr1	195651892	197650802	ENSG00000000971.15_15
chr6	142496252	144493714	ENSG00000001036.13_5
chr3	49155648	51155009	ENSG00000001617.11_7
chr7	91112933	93107663	ENSG00000001630.15_2
chr4	16577227	18576395	ENSG00000002549.12_8
chr7	817046	2815703	ENSG00000002822.15_9
chr17	37870141	39869782	ENSG00000002834.17_9
chr17	47103541	49102386	ENSG00000002919.14_4
chr7	149800734	151800185	ENSG00000002933.7_7
chr12	7940475	9939574	ENSG00000003056.7_7
chr7	7113378	9112975	ENSG00000003147.17_16
chr16	89006253	90178093	ENSG00000003249.13_2
chr2	200117946	202115995	ENSG00000003402.19_14
chr2	186464948	188463091	ENSG00000003436.15_13
chr3	128555341	130554583	ENSG00000004399.12_33
chr1	32010749	34007618	ENSG00000004455.16_7
chr1	22020160	24014311	ENSG00000004487.15_18
chr3	48940200	50939708	ENSG00000004534.14_9
chr17	2860666	4860256	ENSG00000004660.14_8
chr19	34774942	36774057	ENSG00000004777.18_22
chr16	22680000	24580564	ENSG00000004779.9_3
chr7	95120454	97120172	ENSG00000004864.13_5
chr7	101473363	103471538	ENSG00000005075.15_1
chr17	42640692	44640386	ENSG00000005102.12_2
chr17	33981202	35980421	ENSG00000005156.11_23
chr19	1329640	3328180	ENSG00000005206.16_15
chr17	47026680	49024676	ENSG00000005243.9_6
chr17	57301432	59300812	ENSG00000005379.15_27
chr7	94298546	96295477	ENSG00000005421.8_2
chr2	74656200	76650497	ENSG00000005436.13_7
chr2	73421683	75419357	ENSG00000005448.16_7
chr7	74861829	76841548	ENSG00000005486.16_7
chr11	2339720	4337904	ENSG00000005801.16_12
chr16	29568514	31472301	ENSG00000005844.17_22
chr17	49058129	51055745	ENSG00000005884.17_7
chr19	17589026	19586904	ENSG00000006015.17_3
chr19	17572233	19572162	ENSG00000006016.10_7
chr17	44265934	46262968	ENSG00000006062.14_15
chr11	16394358	18391261	ENSG00000006071.12_35
chr11	59925099	61923429	ENSG00000006118.14_10
chr17	34579354	36573540	ENSG00000006125.17_6
chr16	2264400	4260708	ENSG00000006194.9_6
chr17	49543098	51542881	ENSG00000006282.20_3
chr7	12891328	14890460	ENSG00000006468.13_11
chr7	29496650	31495241	ENSG00000006625.17_1
chr7	86877278	88875918	ENSG00000006634.7_2
chr7	111427909	113420825	ENSG00000006652.13_14
chr19	38387357	40385074	ENSG00000006712.14_4
chr7	37723208	39722881	ENSG00000006715.15_35
chr17	11993636	13992233	ENSG00000006744.18_8
